  Time  Potential_Energy  Kinetic_Energy  Total_Energy  Temperature  Moment of Cen
  6.10000044E-02  -6.2730832      0.72052234      -5.5525608      0.49012256      3.75201665E-07
  6.20000027E-02  -6.2476115      0.70613295      -5.5414786      0.48034823      2.40735631E-07
  6.30000010E-02  -6.2228723      0.69213569      -5.5307364      0.47075531      6.32202699E-08
  6.40000030E-02  -6.1991076      0.67866504      -5.5204425      0.46142378      2.09147757E-07
  6.50000051E-02  -6.1764975      0.66582847      -5.5106688      0.45244336      2.40735631E-07
  6.59999996E-02  -6.1552143      0.65373337      -5.5014811      0.44388565      2.35136355E-07
  6.70000017E-02  -6.1354203      0.64247966      -5.4929409      0.43582225      1.79433741E-07
  6.80000037E-02  -6.1172600      0.63215411      -5.4851060      0.42831978      1.20137003E-07
  6.90000057E-02  -6.1008511      0.62282670      -5.4780245      0.42143607      2.66560079E-07
  7.00000003E-02  -6.0862751      0.74085659      -5.3454185      0.41521785      1.66600046E-07
  7.10000023E-02  -6.0719118      0.73276198      -5.3391500      0.49390438      7.30004857E-08
  7.20000044E-02  -6.0593967      0.72573042      -5.3336663      0.48850799      2.23020166E-07
  7.30000064E-02  -6.0487137      0.71975452      -5.3289590      0.48382029      9.12019232E-07
  7.40000010E-02  -6.0398121      0.71480548      -5.3250065      0.47983634      1.76941484E-07
  7.50000030E-02  -6.0326123      0.71083456      -5.3217778      0.47653699      3.07195307E-07
  7.60000050E-02  -6.0269928      0.70777488      -5.3192177      0.47388968      2.51560550E-07
  7.70000070E-02  -6.0228133      0.70554388      -5.3172693      0.47184992      2.21521688E-07
  7.80000016E-02  -6.0199142      0.70404661      -5.3158674      0.47036257      1.74413614E-07
  7.90000036E-02  -6.0181131      0.70317793      -5.3149352      0.46936440      2.53319740E-07
  8.00000057E-02  -6.0172377      0.74962825      -5.2676096      0.46878529      2.99880071E-07
  8.10000002E-02  -6.0169454      0.74962795      -5.2673173      0.49975216      2.66560079E-07
  8.20000023E-02  -6.0170970      0.74987876      -5.2672181      0.49975196      1.11510083E-07
