0.000000 0.000000 0.000000
0.793701 0.793701 0.000000
0.793701 0.000000 0.793701
0.000000 0.793701 0.793701
0.000000 0.000000 1.587401
0.793701 0.793701 1.587401
0.793701 0.000000 2.381102
0.000000 0.793701 2.381102
0.000000 1.587401 0.000000
0.793701 2.381102 0.000000
0.793701 1.587401 0.793701
0.000000 2.381102 0.793701
0.000000 1.587401 1.587401
0.793701 2.381102 1.587401
0.793701 1.587401 2.381102
0.000000 2.381102 2.381102
1.587401 0.000000 0.000000
2.381102 0.793701 0.000000
2.381102 0.000000 0.793701
1.587401 0.793701 0.793701
1.587401 0.000000 1.587401
2.381102 0.793701 1.587401
2.381102 0.000000 2.381102
1.587401 0.793701 2.381102
1.587401 1.587401 0.000000
2.381102 2.381102 0.000000
2.381102 1.587401 0.793701
1.587401 2.381102 0.793701
1.587401 1.587401 1.587401
2.381102 2.381102 1.587401
2.381102 1.587401 2.381102
1.587401 2.381102 2.381102
